timestamp_ms,symbol,side,price,quantity,trade_id
1705312800000,btcusdt,buy,50012.45,0.3821,T100001
1705312803200,btcusdt,sell,50018.72,0.1543,T100002
1705312807800,btcusdt,buy,50015.30,0.5012,T100003
1705312811500,btcusdt,sell,50009.88,0.2234,T100004
1705312816200,btcusdt,buy,50021.15,0.4567,T100005
1705312820100,btcusdt,buy,50028.40,0.1892,T100006
1705312824300,btcusdt,sell,50024.65,0.3341,T100007
1705312828900,btcusdt,sell,50019.22,0.2765,T100008
1705312832700,btcusdt,buy,50031.80,0.6012,T100009
1705312836400,btcusdt,sell,50027.45,0.1478,T100010
1705312840200,btcusdt,buy,50035.10,0.4823,T100011
1705312845100,btcusdt,buy,50041.33,0.2156,T100012
1705312849600,btcusdt,sell,50038.75,0.3892,T100013
1705312854200,btcusdt,buy,50044.20,0.5234,T100014
1705312858700,btcusdt,sell,50040.55,0.1987,T100015
1705312862300,btcusdt,buy,50047.88,0.4123,T100016
1705312866900,btcusdt,sell,50043.12,0.2678,T100017
1705312871400,btcusdt,buy,50050.65,0.3456,T100018
1705312875200,btcusdt,sell,50046.30,0.5789,T100019
1705312879800,btcusdt,buy,50053.45,0.1345,T100020
1705312884100,btcusdt,sell,50049.80,0.4567,T100021
1705312888700,btcusdt,buy,50056.22,0.2891,T100022
1705312893200,btcusdt,buy,50060.15,0.3234,T100023
1705312897600,btcusdt,sell,50055.80,0.6012,T100024
1705312901300,btcusdt,buy,50063.40,0.2456,T100025
1705312905900,btcusdt,sell,50058.75,0.4789,T100026
1705312910400,btcusdt,buy,50066.55,0.1678,T100027
1705312914200,btcusdt,sell,50062.10,0.3901,T100028
1705312918800,btcusdt,buy,50069.88,0.5123,T100029
1705312923300,btcusdt,sell,50065.45,0.2345,T100030
1705312927900,btcusdt,buy,50072.20,0.4012,T100031
1705312932400,btcusdt,buy,50075.65,0.1789,T100032
1705312936200,btcusdt,sell,50071.30,0.3456,T100033
1705312940900,btcusdt,buy,50078.88,0.5678,T100034
1705312945500,btcusdt,sell,50074.55,0.2123,T100035
1705312949200,btcusdt,buy,50081.20,0.4345,T100036
1705312953800,btcusdt,sell,50077.85,0.1567,T100037
1705312958300,btcusdt,buy,50084.40,0.3789,T100038
1705312962900,btcusdt,buy,50087.65,0.6234,T100039
1705312967400,btcusdt,sell,50083.30,0.2012,T100040
1705312971200,btcusdt,buy,50090.88,0.4567,T100041
1705312975800,btcusdt,sell,50086.45,0.1234,T100042
1705312980300,btcusdt,buy,50093.20,0.3901,T100043
1705312984900,btcusdt,sell,50089.75,0.5123,T100044
1705312989400,btcusdt,buy,50096.40,0.2456,T100045
1705312993200,btcusdt,sell,50092.05,0.4678,T100046
1705312997800,btcusdt,buy,50099.65,0.1345,T100047
1705313002300,btcusdt,buy,50102.80,0.3567,T100048
1705313006900,btcusdt,sell,50098.45,0.5890,T100049
1705313011400,btcusdt,buy,50105.22,0.2123,T100050
1705313015200,btcusdt,sell,50100.88,0.4345,T100051
1705313019800,btcusdt,buy,50108.55,0.1678,T100052
1705313024300,btcusdt,sell,50104.20,0.3901,T100053
1705313028900,btcusdt,buy,50111.88,0.5234,T100054
1705313033400,btcusdt,buy,50115.45,0.2012,T100055
1705313037200,btcusdt,sell,50110.10,0.4567,T100056
1705313041800,btcusdt,buy,50118.88,0.1234,T100057
1705313046300,btcusdt,sell,50114.55,0.3789,T100058
1705313050900,btcusdt,buy,50121.20,0.6012,T100059
1705313055400,btcusdt,sell,50116.85,0.2456,T100060
1705313059200,btcusdt,buy,50124.40,0.4678,T100061
1705313063800,btcusdt,sell,50120.05,0.1345,T100062
1705313068300,btcusdt,buy,50127.65,0.3567,T100063
1705313072900,btcusdt,buy,50131.22,0.5890,T100064
1705313077400,btcusdt,sell,50126.88,0.2123,T100065
1705313081200,btcusdt,buy,50134.55,0.4345,T100066
1705313085800,btcusdt,sell,50130.20,0.1678,T100067
1705313090300,btcusdt,buy,50137.88,0.3901,T100068
1705313094900,btcusdt,sell,50133.45,0.5234,T100069
1705313099400,btcusdt,buy,50141.10,0.2012,T100070
1705313103200,btcusdt,sell,50136.75,0.4567,T100071
1705313107800,btcusdt,buy,50144.40,0.1234,T100072
1705313112300,btcusdt,buy,50147.65,0.3789,T100073
1705313116900,btcusdt,sell,50143.30,0.6012,T100074
1705313121400,btcusdt,buy,50150.88,0.2456,T100075
1705313125200,btcusdt,sell,50146.55,0.4678,T100076
1705313129800,btcusdt,buy,50153.20,0.1345,T100077
1705313134300,btcusdt,sell,50148.85,0.3567,T100078
1705313138900,btcusdt,buy,50156.40,0.5890,T100079
1705313143400,btcusdt,sell,50152.05,0.2123,T100080
1705313147200,btcusdt,buy,50159.65,0.4345,T100081
1705313151800,btcusdt,buy,50162.88,0.1678,T100082
1705313156300,btcusdt,sell,50158.55,0.3901,T100083
1705313160900,btcusdt,buy,50166.20,0.5234,T100084
1705313165400,btcusdt,sell,50161.85,0.2012,T100085
1705313169200,btcusdt,buy,50169.40,0.4567,T100086
1705313173800,btcusdt,sell,50165.05,0.1234,T100087
1705313178300,btcusdt,buy,50172.65,0.3789,T100088
1705313182900,btcusdt,buy,50175.88,0.6012,T100089
1705313187400,btcusdt,sell,50171.55,0.2456,T100090
1705313191200,btcusdt,buy,50179.20,0.4678,T100091
1705313195800,btcusdt,sell,50174.85,0.1345,T100092
1705313200300,btcusdt,buy,50182.40,0.3567,T100093
1705313204900,btcusdt,sell,50178.05,0.5890,T100094
1705313209400,btcusdt,buy,50185.65,0.2123,T100095
1705313213200,btcusdt,sell,50181.30,0.4345,T100096
1705313217800,btcusdt,buy,50188.88,0.1678,T100097
1705313222300,btcusdt,buy,50192.45,0.3901,T100098
1705313226900,btcusdt,sell,50188.10,0.5234,T100099
1705313231400,btcusdt,buy,50195.65,0.2012,T100100
1705313235200,btcusdt,sell,50191.30,0.4567,T100101
1705313239800,btcusdt,buy,50198.88,0.1234,T100102
1705313244300,btcusdt,sell,50194.55,0.3789,T100103
1705313248900,btcusdt,buy,50201.20,0.6012,T100104
1705313253400,btcusdt,buy,50204.65,0.2456,T100105
1705313257200,btcusdt,sell,50200.30,0.4678,T100106
1705313261800,btcusdt,buy,50207.88,0.1345,T100107
1705313266300,btcusdt,sell,50203.55,0.3567,T100108
1705313270900,btcusdt,buy,50210.20,0.5890,T100109
1705313275400,btcusdt,sell,50205.85,0.2123,T100110
1705313279200,btcusdt,buy,50213.40,0.4345,T100111
1705313283800,btcusdt,sell,50209.05,0.1678,T100112
1705313288300,btcusdt,buy,50216.65,0.3901,T100113
1705313292900,btcusdt,buy,50219.88,0.5234,T100114
1705313297400,btcusdt,sell,50215.55,0.2012,T100115
1705313301200,btcusdt,buy,50223.20,0.4567,T100116
1705313305800,btcusdt,sell,50218.85,0.1234,T100117
1705313310300,btcusdt,buy,50226.40,0.3789,T100118
1705313314900,btcusdt,sell,50222.05,0.6012,T100119
1705313319400,btcusdt,buy,50229.65,0.2456,T100120
1705313323200,btcusdt,sell,50225.30,0.4678,T100121
1705313327800,btcusdt,buy,50232.88,0.1345,T100122
1705313332300,btcusdt,buy,50236.45,0.3567,T100123
1705313336900,btcusdt,sell,50232.10,0.5890,T100124
1705313341400,btcusdt,buy,50239.65,0.2123,T100125
1705313345200,btcusdt,sell,50235.30,0.4345,T100126
1705313349800,btcusdt,buy,50242.88,0.1678,T100127
1705313354300,btcusdt,sell,50238.55,0.3901,T100128
1705313358900,btcusdt,buy,50246.20,0.5234,T100129
1705313363400,btcusdt,sell,50241.85,0.2012,T100130
1705313367200,btcusdt,buy,50249.40,0.4567,T100131
1705313371800,btcusdt,buy,50252.65,0.1234,T100132
1705313376300,btcusdt,sell,50248.30,0.3789,T100133
1705313380900,btcusdt,buy,50255.88,0.6012,T100134
1705313385400,btcusdt,sell,50251.55,0.2456,T100135
1705313389200,btcusdt,buy,50259.20,0.4678,T100136
1705313393800,btcusdt,sell,50254.85,0.1345,T100137
1705313398300,btcusdt,buy,50262.40,0.3567,T100138
1705313402900,btcusdt,buy,50265.65,0.5890,T100139
1705313407400,btcusdt,sell,50261.30,0.2123,T100140
1705313411200,btcusdt,buy,50268.88,0.4345,T100141
1705313415800,btcusdt,sell,50264.55,0.1678,T100142
1705313420300,btcusdt,buy,50272.20,0.3901,T100143
1705313424900,btcusdt,sell,50267.85,0.5234,T100144
1705313429400,btcusdt,buy,50275.40,0.2012,T100145
1705313433200,btcusdt,sell,50271.05,0.4567,T100146
1705313437800,btcusdt,buy,50278.65,0.1234,T100147
1705313442300,btcusdt,buy,50281.88,0.3789,T100148
