timestamp_ms,symbol,event_type,side,price,quantity,order_id,trade_id,lifetime_ms
1705312800000,btcusdt,trade,buy,50105.20,0.3412,,,
1705312803500,btcusdt,trade,sell,50102.85,0.2876,,,
1705312807200,btcusdt,place,buy,49902.00,8.5000,O200001,,
1705312807350,btcusdt,place,buy,49898.50,12.3000,O200002,,
1705312807520,btcusdt,place,buy,49895.00,9.7500,O200003,,
1705312807680,btcusdt,cancel,buy,49902.00,8.5000,O200001,,173
1705312807810,btcusdt,cancel,buy,49898.50,12.3000,O200002,,460
1705312807980,btcusdt,cancel,buy,49895.00,9.7500,O200003,,460
1705312808100,btcusdt,trade,sell,50098.40,0.4521,,T200001,
1705312808350,btcusdt,trade,sell,50094.75,0.3876,,T200002,
1705312812000,btcusdt,trade,buy,50099.30,0.2143,,,
1705312815500,btcusdt,trade,sell,50096.80,0.3654,,,
1705312819200,btcusdt,place,buy,49890.00,15.2000,O200004,,
1705312819380,btcusdt,place,buy,49886.50,10.8000,O200005,,
1705312819550,btcusdt,place,buy,49883.00,7.4000,O200006,,
1705312819720,btcusdt,cancel,buy,49890.00,15.2000,O200004,,140
1705312819870,btcusdt,cancel,buy,49886.50,10.8000,O200005,,220
1705312820050,btcusdt,cancel,buy,49883.00,7.4000,O200006,,290
1705312820200,btcusdt,trade,sell,50092.15,0.5234,,T200003,
1705312820450,btcusdt,trade,sell,50089.60,0.4123,,T200004,
1705312824100,btcusdt,trade,buy,50093.45,0.1987,,,
1705312827600,btcusdt,trade,sell,50090.80,0.3421,,,
1705312831300,btcusdt,place,buy,49878.00,11.6000,O200007,,
1705312831480,btcusdt,place,buy,49874.50,9.2000,O200008,,
1705312831650,btcusdt,place,buy,49871.00,13.5000,O200009,,
1705312831810,btcusdt,cancel,buy,49878.00,11.6000,O200007,,130
1705312831960,btcusdt,cancel,buy,49874.50,9.2000,O200008,,180
1705312832140,btcusdt,cancel,buy,49871.00,13.5000,O200009,,290
1705312832290,btcusdt,trade,sell,50086.35,0.3789,,T200005,
1705312832540,btcusdt,trade,sell,50083.90,0.4567,,T200006,
1705312836200,btcusdt,trade,buy,50087.65,0.2345,,,
1705312839700,btcusdt,trade,sell,50084.20,0.3012,,,
1705312843400,btcusdt,place,buy,49866.00,14.8000,O200010,,
1705312843580,btcusdt,place,buy,49862.50,8.9000,O200011,,
1705312843750,btcusdt,place,buy,49859.00,11.3000,O200012,,
1705312843910,btcusdt,cancel,buy,49866.00,14.8000,O200010,,170
1705312844060,btcusdt,cancel,buy,49862.50,8.9000,O200011,,230
1705312844240,btcusdt,cancel,buy,49859.00,11.3000,O200012,,280
1705312844390,btcusdt,trade,sell,50080.55,0.5123,,T200007,
1705312844640,btcusdt,trade,sell,50077.10,0.3901,,T200008,
1705312848300,btcusdt,trade,buy,50081.85,0.1678,,,
1705312851800,btcusdt,trade,sell,50078.40,0.4234,,,
1705312855500,btcusdt,place,buy,49854.00,10.1000,O200013,,
1705312855680,btcusdt,place,buy,49850.50,16.7000,O200014,,
1705312855850,btcusdt,place,buy,49847.00,8.4000,O200015,,
1705312856010,btcusdt,cancel,buy,49854.00,10.1000,O200013,,160
1705312856160,btcusdt,cancel,buy,49850.50,16.7000,O200014,,210
1705312856340,btcusdt,cancel,buy,49847.00,8.4000,O200015,,270
1705312856490,btcusdt,trade,sell,50074.75,0.4456,,T200009,
1705312856740,btcusdt,trade,sell,50071.30,0.3214,,T200010,
1705312860400,btcusdt,trade,buy,50075.55,0.2901,,,
1705312863900,btcusdt,trade,sell,50072.10,0.3678,,,
1705312867600,btcusdt,place,buy,49842.00,12.4000,O200016,,
1705312867780,btcusdt,place,buy,49838.50,9.8000,O200017,,
1705312867950,btcusdt,place,buy,49835.00,15.1000,O200018,,
1705312868110,btcusdt,cancel,buy,49842.00,12.4000,O200016,,150
1705312868260,btcusdt,cancel,buy,49838.50,9.8000,O200017,,200
1705312868440,btcusdt,cancel,buy,49835.00,15.1000,O200018,,280
1705312868590,btcusdt,trade,sell,50068.65,0.5678,,T200011,
1705312868840,btcusdt,trade,sell,50065.20,0.4012,,T200012,
1705312872500,btcusdt,trade,buy,50069.45,0.2456,,,
1705312876000,btcusdt,trade,sell,50066.00,0.3123,,,
1705312879700,btcusdt,place,buy,49830.00,11.9000,O200019,,
1705312879880,btcusdt,place,buy,49826.50,8.5000,O200020,,
1705312880050,btcusdt,place,buy,49823.00,13.2000,O200021,,
1705312880210,btcusdt,cancel,buy,49830.00,11.9000,O200019,,180
1705312880360,btcusdt,cancel,buy,49826.50,8.5000,O200020,,250
1705312880540,btcusdt,cancel,buy,49823.00,13.2000,O200021,,280
1705312880690,btcusdt,trade,sell,50062.35,0.3890,,T200013,
1705312880940,btcusdt,trade,sell,50058.90,0.4678,,T200014,
1705312884600,btcusdt,trade,buy,50063.15,0.1345,,,
1705312888100,btcusdt,trade,sell,50059.70,0.2901,,,
1705312891800,btcusdt,place,buy,49818.00,10.6000,O200022,,
1705312891980,btcusdt,place,buy,49814.50,14.2000,O200023,,
1705312892150,btcusdt,place,buy,49811.00,9.3000,O200024,,
1705312892310,btcusdt,cancel,buy,49818.00,10.6000,O200022,,170
1705312892460,btcusdt,cancel,buy,49814.50,14.2000,O200023,,220
1705312892640,btcusdt,cancel,buy,49811.00,9.3000,O200024,,280
1705312892790,btcusdt,trade,sell,50056.25,0.5345,,T200015,
1705312893040,btcusdt,trade,sell,50052.80,0.3789,,T200016,
1705312896700,btcusdt,trade,buy,50057.05,0.2123,,,
1705312900200,btcusdt,trade,sell,50053.60,0.3456,,,
1705312903900,btcusdt,place,buy,49806.00,13.7000,O200025,,
1705312904080,btcusdt,place,buy,49802.50,8.1000,O200026,,
1705312904250,btcusdt,place,buy,49799.00,11.8000,O200027,,
1705312904410,btcusdt,cancel,buy,49806.00,13.7000,O200025,,160
1705312904560,btcusdt,cancel,buy,49802.50,8.1000,O200026,,230
1705312904740,btcusdt,cancel,buy,49799.00,11.8000,O200027,,280
1705312904890,btcusdt,trade,sell,50049.95,0.4901,,T200017,
1705312905140,btcusdt,trade,sell,50046.50,0.3234,,T200018,
1705312908800,btcusdt,trade,buy,50051.25,0.1789,,,
1705312912300,btcusdt,trade,sell,50047.80,0.4012,,,
1705312916000,btcusdt,trade,buy,50052.55,0.2678,,,
1705312919500,btcusdt,trade,sell,50049.10,0.3901,,,
1705312923200,btcusdt,trade,buy,50053.85,0.5123,,,
1705312926700,btcusdt,trade,sell,50050.40,0.2345,,,
1705312930200,btcusdt,place,buy,49794.00,12.9000,O200028,,
1705312930380,btcusdt,place,buy,49790.50,8.7000,O200029,,
1705312930540,btcusdt,cancel,buy,49794.00,12.9000,O200028,,150
1705312930700,btcusdt,cancel,buy,49790.50,8.7000,O200029,,200
