timestamp_ms,symbol,event_type,side,price,quantity,trade_id
1705312800000,btcusdt,trade,buy,50050.00,1.0012,W300001
1705312801000,btcusdt,trade,sell,50050.25,0.9988,W300002
1705312802000,btcusdt,trade,buy,50050.50,1.0023,W300003
1705312803000,btcusdt,trade,sell,50050.75,0.9975,W300004
1705312804000,btcusdt,trade,buy,50051.00,1.0008,W300005
1705312805000,btcusdt,trade,sell,50051.25,0.9991,W300006
1705312806000,btcusdt,trade,buy,50051.50,1.0017,W300007
1705312807000,btcusdt,trade,sell,50051.75,0.9983,W300008
1705312808000,btcusdt,trade,buy,50052.00,1.0031,W300009
1705312809000,btcusdt,trade,sell,50052.25,0.9969,W300010
1705312810000,btcusdt,trade,buy,50052.50,1.0005,W300011
1705312811000,btcusdt,trade,sell,50052.75,0.9994,W300012
1705312812000,btcusdt,trade,buy,50053.00,1.0019,W300013
1705312813000,btcusdt,trade,sell,50053.25,0.9981,W300014
1705312814000,btcusdt,trade,buy,50053.50,1.0027,W300015
1705312815000,btcusdt,trade,sell,50053.75,0.9973,W300016
1705312816000,btcusdt,trade,buy,50054.00,1.0014,W300017
1705312817000,btcusdt,trade,sell,50054.25,0.9986,W300018
1705312818000,btcusdt,trade,buy,50054.50,1.0022,W300019
1705312819000,btcusdt,trade,sell,50054.75,0.9978,W300020
1705312820000,btcusdt,trade,buy,50055.00,1.0009,W300021
1705312821000,btcusdt,trade,sell,50055.25,0.9991,W300022
1705312822000,btcusdt,trade,buy,50055.50,1.0016,W300023
1705312823000,btcusdt,trade,sell,50055.75,0.9984,W300024
1705312824000,btcusdt,trade,buy,50056.00,1.0025,W300025
1705312825000,btcusdt,trade,sell,50056.25,0.9975,W300026
1705312826000,btcusdt,trade,buy,50056.50,1.0011,W300027
1705312827000,btcusdt,trade,sell,50056.75,0.9989,W300028
1705312828000,btcusdt,trade,buy,50057.00,1.0020,W300029
1705312829000,btcusdt,trade,sell,50057.25,0.9980,W300030
1705312830000,btcusdt,trade,buy,50057.50,1.0007,W300031
1705312831000,btcusdt,trade,sell,50057.75,0.9993,W300032
1705312832000,btcusdt,trade,buy,50058.00,1.0018,W300033
1705312833000,btcusdt,trade,sell,50058.25,0.9982,W300034
1705312834000,btcusdt,trade,buy,50058.50,1.0028,W300035
1705312835000,btcusdt,trade,sell,50058.75,0.9972,W300036
1705312836000,btcusdt,trade,buy,50059.00,1.0013,W300037
1705312837000,btcusdt,trade,sell,50059.25,0.9987,W300038
1705312838000,btcusdt,trade,buy,50059.50,1.0021,W300039
1705312839000,btcusdt,trade,sell,50059.75,0.9979,W300040
1705312840000,btcusdt,trade,buy,50060.00,1.0006,W300041
1705312841000,btcusdt,trade,sell,50060.25,0.9994,W300042
1705312842000,btcusdt,trade,buy,50060.50,1.0024,W300043
1705312843000,btcusdt,trade,sell,50060.75,0.9976,W300044
1705312844000,btcusdt,trade,buy,50061.00,1.0010,W300045
1705312845000,btcusdt,trade,sell,50061.25,0.9990,W300046
1705312846000,btcusdt,trade,buy,50061.50,1.0017,W300047
1705312847000,btcusdt,trade,sell,50061.75,0.9983,W300048
1705312848000,btcusdt,trade,buy,50062.00,1.0029,W300049
1705312849000,btcusdt,trade,sell,50062.25,0.9971,W300050
1705312850000,btcusdt,trade,buy,50062.50,1.0004,W300051
1705312851000,btcusdt,trade,sell,50062.75,0.9996,W300052
1705312852000,btcusdt,trade,buy,50063.00,1.0015,W300053
1705312853000,btcusdt,trade,sell,50063.25,0.9985,W300054
1705312854000,btcusdt,trade,buy,50063.50,1.0026,W300055
1705312855000,btcusdt,trade,sell,50063.75,0.9974,W300056
1705312856000,btcusdt,trade,buy,50064.00,1.0012,W300057
1705312857000,btcusdt,trade,sell,50064.25,0.9988,W300058
1705312858000,btcusdt,trade,buy,50064.50,1.0019,W300059
1705312859000,btcusdt,trade,sell,50064.75,0.9981,W300060
1705312860000,btcusdt,trade,buy,50065.00,1.0008,W300061
1705312861000,btcusdt,trade,sell,50065.25,0.9992,W300062
1705312862000,btcusdt,trade,buy,50065.50,1.0023,W300063
1705312863000,btcusdt,trade,sell,50065.75,0.9977,W300064
1705312864000,btcusdt,trade,buy,50066.00,1.0014,W300065
1705312865000,btcusdt,trade,sell,50066.25,0.9986,W300066
1705312866000,btcusdt,trade,buy,50066.50,1.0031,W300067
1705312867000,btcusdt,trade,sell,50066.75,0.9969,W300068
1705312868000,btcusdt,trade,buy,50067.00,1.0005,W300069
1705312869000,btcusdt,trade,sell,50067.25,0.9995,W300070
1705312870000,btcusdt,trade,buy,50067.50,1.0018,W300071
1705312871000,btcusdt,trade,sell,50067.75,0.9982,W300072
1705312872000,btcusdt,trade,buy,50068.00,1.0027,W300073
1705312873000,btcusdt,trade,sell,50068.25,0.9973,W300074
1705312874000,btcusdt,trade,buy,50068.50,1.0011,W300075
1705312875000,btcusdt,trade,sell,50068.75,0.9989,W300076
1705312876000,btcusdt,trade,buy,50069.00,1.0022,W300077
1705312877000,btcusdt,trade,sell,50069.25,0.9978,W300078
1705312878000,btcusdt,trade,buy,50069.50,1.0009,W300079
1705312879000,btcusdt,trade,sell,50069.75,0.9991,W300080
1705312880000,btcusdt,trade,buy,50070.00,1.0016,W300081
1705312881000,btcusdt,trade,sell,50070.25,0.9984,W300082
1705312882000,btcusdt,trade,buy,50070.50,1.0025,W300083
1705312883000,btcusdt,trade,sell,50070.75,0.9975,W300084
1705312884000,btcusdt,trade,buy,50071.00,1.0013,W300085
1705312885000,btcusdt,trade,sell,50071.25,0.9987,W300086
1705312886000,btcusdt,trade,buy,50071.50,1.0020,W300087
1705312887000,btcusdt,trade,sell,50071.75,0.9980,W300088
1705312888000,btcusdt,trade,buy,50072.00,1.0007,W300089
1705312889000,btcusdt,trade,sell,50072.25,0.9993,W300090
1705312890000,btcusdt,trade,buy,50072.50,1.0024,W300091
1705312891000,btcusdt,trade,sell,50072.75,0.9976,W300092
1705312892000,btcusdt,trade,buy,50073.00,1.0010,W300093
1705312893000,btcusdt,trade,sell,50073.25,0.9990,W300094
1705312894000,btcusdt,trade,buy,50073.50,1.0017,W300095
1705312895000,btcusdt,trade,sell,50073.75,0.9983,W300096
1705312896000,btcusdt,trade,buy,50074.00,1.0029,W300097
1705312897000,btcusdt,trade,sell,50074.25,0.9971,W300098
1705312898000,btcusdt,trade,buy,50074.50,1.0004,W300099
1705312899000,btcusdt,trade,sell,50074.75,0.9996,W300100
